city,state,latitude,longitude,January,February,March,April,May,June,July,August,September,October,November,December,name,desc,color,source,precision
Atlanta,GA,33.7483101,-84.3911133,8,8,9,10,9,8,6,7,10,14,12,9,"Atlanta, GA","Atlanta, GA",,Bing Maps,city/town
Austin,TX,30.2675896,-97.7429886,9,8,9,8,6,8,12,12,11,12,11,10,"Austin, TX","Austin, TX",,Bing Maps,city/town
Baltimore,MD,39.2905807,-76.6092606,8,8,8,8,8,8,9,9,11,12,8,8,"Baltimore, MD","Baltimore, MD",,Bing Maps,city/town
Birmingham,AL,33.5206795,-86.8117599,7,7,7,9,8,7,5,7,9,14,10,8,"Birmingham, AL","Birmingham, AL",,Bing Maps,city/town
Boston,MA,42.3586617,-71.0567398,9,8,8,7,6,7,7,9,10,11,8,9,"Boston, MA","Boston, MA",,Bing Maps,city/town
Buffalo,NY,42.8854408,-78.8784637,1,2,4,5,6,6,7,7,6,6,2,1,"Buffalo, NY","Buffalo, NY",,Bing Maps,city/town
Charlotte,NC,35.2228584,-80.8379593,9,8,9,10,8,7,7,7,9,13,11,10,"Charlotte, NC","Charlotte, NC",,Bing Maps,city/town
Chicago,IL,41.8842506,-87.6324463,7,6,5,6,7,7,8,9,9,9,5,6,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
Cincinnati,OH,39.1071281,-84.5041275,5,5,5,6,6,7,8,8,10,10,6,5,"Cincinnati, OH","Cincinnati, OH",,Bing Maps,city/town
Cleveland,OH,41.5047302,-81.6907425,3,3,5,5,6,7,8,9,8,8,3,3,"Cleveland, OH","Cleveland, OH",,Bing Maps,city/town
Columbus,OH,39.9619904,-83.0027466,4,4,5,5,6,6,7,7,9,10,5,4,"Columbus, OH","Columbus, OH",,Bing Maps,city/town
Dallas,TX,32.7781487,-96.7954025,10,10,10,9,8,11,15,15,13,14,12,11,"Dallas, TX","Dallas, TX",,Bing Maps,city/town
Denver,CO,39.7400093,-104.9920197,10,8,8,7,6,10,9,10,13,13,10,11,"Denver, CO","Denver, CO",,Bing Maps,city/town
Detroit,MI,42.3316803,-83.0479965,4,5,6,6,7,8,9,9,8,8,4,3,"Detroit, MI","Detroit, MI",,Bing Maps,city/town
Hartford,CT,41.7634888,-72.6740189,8,7,7,6,6,6,6,7,8,9,6,7,"Hartford, CT","Hartford, CT",,Bing Maps,city/town
Houston,TX,29.7605801,-95.3696823,7,7,7,7,6,7,7,6,9,11,9,7,"Houston, TX","Houston, TX",,Bing Maps,city/town
Indianapolis,IN,39.7669106,-86.1499634,6,6,6,6,7,7,8,9,11,11,6,5,"Indianapolis, IN","Indianapolis, IN",,Bing Maps,city/town
Jacksonville,FL,30.3314705,-81.6562195,9,9,9,10,9,5,5,5,5,10,10,9,"Jacksonville, FL","Jacksonville, FL",,Bing Maps,city/town
Kansas City,MO,39.1034508,-94.583107,10,8,8,9,8,10,13,12,12,13,9,10,"Kansas City, MO","Kansas City, MO",,Bing Maps,city/town
Las Vegas,NV,36.1719093,-115.1399689,14,12,14,16,18,22,20,22,22,20,16,15,"Las Vegas, NV","Las Vegas, NV",,Bing Maps,city/town
Los Angeles,CA,34.0534897,-118.2453232,12,11,12,11,10,10,13,14,13,13,15,13,"Los Angeles, CA","Los Angeles, CA",,Bing Maps,city/town
Louisville,KY,38.2548599,-85.7664032,6,6,6,6,8,8,8,10,10,12,7,6,"Louisville, KY","Louisville, KY",,Bing Maps,city/town
Memphis,TN,35.1497612,-90.0492477,8,8,8,9,8,10,10,12,12,14,10,9,"Memphis, TN","Memphis, TN",,Bing Maps,city/town
Miami,FL,25.7748108,-80.197731,9,8,9,8,6,3,3,2,2,7,8,9,"Miami, FL","Miami, FL",,Bing Maps,city/town
Milwaukee,WI,43.0419998,-87.906868,7,6,6,6,7,8,10,10,9,9,5,6,"Milwaukee, WI","Milwaukee, WI",,Bing Maps,city/town
Minneapolis,MN,44.9790192,-93.2649384,8,8,7,7,7,7,10,10,10,10,5,6,"Minneapolis, MN","Minneapolis, MN",,Bing Maps,city/town
Nashville,TN,36.1678391,-86.7781601,6,7,8,8,8,8,8,10,11,13,9,7,"Nashville, TN","Nashville, TN",,Bing Maps,city/town
New Orleans,LA,29.9536991,-90.0777512,7,8,8,8,9,8,5,7,10,14,10,8,"New Orleans, LA","New Orleans, LA",,Bing Maps,city/town
New York,NY,40.71455,-74.0071411,8,8,9,8,8,8,8,9,11,12,9,9,"New York, NY","New York, NY",,Bing Maps,city/town
Oklahoma City,OK,35.4720306,-97.5210724,11,9,10,9,9,10,15,14,13,14,12,12,"Oklahoma City, OK","Oklahoma City, OK",,Bing Maps,city/town
Philadelphia,PA,39.9522209,-75.162178,7,7,8,7,6,7,7,8,10,11,7,7,"Philadelphia, PA","Philadelphia, PA",,Bing Maps,city/town
Phoenix,AZ,33.4482498,-112.075798,14,13,14,17,21,23,17,18,22,20,18,15,"Phoenix, AZ","Phoenix, AZ",,Bing Maps,city/town
Pittsburgh,PA,40.4385109,-79.9973373,3,3,4,4,5,5,5,7,7,8,4,3,"Pittsburgh, PA","Pittsburgh, PA",,Bing Maps,city/town
Portland,OR,45.5117912,-122.6756287,3,3,3,3,5,6,13,11,10,5,3,2,"Portland, OR","Portland, OR",,Bing Maps,city/town
Providence,RI,41.8238716,-71.4119873,10,8,8,7,6,7,7,8,9,11,8,8,"Providence, RI","Providence, RI",,Bing Maps,city/town
Raleigh,NC,35.785511,-78.6426697,9,9,9,10,8,8,7,7,10,13,11,10,"Raleigh, NC","Raleigh, NC",,Bing Maps,city/town
Richmond,VA,37.540699,-77.4336472,8,8,8,8,7,7,7,7,9,12,9,9,"Richmond, VA","Richmond, VA",,Bing Maps,city/town
Rochester,NY,43.1557999,-77.6163177,2,2,5,6,6,7,8,8,7,6,2,2,"Rochester, NY","Rochester, NY",,Bing Maps,city/town
Sacramento,CA,38.5793304,-121.4908981,7,8,10,12,17,22,27,26,24,19,10,8,"Sacramento, CA","Sacramento, CA",,Bing Maps,city/town
Salt Lake City,UT,40.7603111,-111.8882217,6,5,7,7,9,14,17,16,16,14,8,6,"Salt Lake City, UT","Salt Lake City, UT",,Bing Maps,city/town
San Antonio,TX,29.4245796,-98.4946136,9,8,9,7,6,7,9,10,9,11,10,10,"San Antonio, TX","San Antonio, TX",,Bing Maps,city/town
San Diego,CA,32.7156792,-117.1617126,12,10,11,10,8,9,13,15,15,14,15,14,"San Diego, CA","San Diego, CA",,Bing Maps,city/town
San Francisco,CA,37.7771187,-122.4196396,9,8,10,11,14,16,21,19,18,16,11,9,"San Francisco, CA","San Francisco, CA",,Bing Maps,city/town
Seattle,WA,47.603569,-122.3294525,3,3,3,3,4,5,10,9,8,4,2,2,"Seattle, WA","Seattle, WA",,Bing Maps,city/town
St. Louis,MO,38.6277504,-90.1995621,7,7,6,7,7,7,9,10,11,12,9,7,"St. Louis, MO","St Louis, MO",,Bing Maps,city/town
Tampa,FL,27.9465294,-82.4592667,10,9,11,11,11,6,3,3,5,11,12,10,"Tampa, FL","Tampa, FL",,Bing Maps,city/town
Virginia Beach,VA,36.7552795,-76.0596237,9,8,9,9,8,7,7,8,9,12,10,9,"Virginia Beach, VA","Virginia Beach, VA",,Bing Maps,city/town
"Washington, DC",DC,38.906189,-77.0172653,7,7,7,7,7,7,7,9,10,11,8,8,"Washington, DC, DC",District of Columbia,,Bing Maps,state/province
