city,state,January,February,March,April,May,June,July,August,September,October,November,December,latitude,longitude,name,desc,color,source,precision
Atlanta,GA,8,8,9,10,9,8,6,7,10,14,12,9,33.7483101,-84.3911133,"Atlanta, GA","Atlanta, GA",,Bing Maps,city/town
Austin,TX,9,8,9,8,6,8,12,12,11,12,11,10,30.2675896,-97.7429886,"Austin, TX","Austin, TX",,Bing Maps,city/town
Baltimore,MD,8,8,8,8,8,8,9,9,11,12,8,8,39.2905807,-76.6092606,"Baltimore, MD","Baltimore, MD",,Bing Maps,city/town
Birmingham,AL,7,7,7,9,8,7,5,7,9,14,10,8,33.5206795,-86.8117599,"Birmingham, AL","Birmingham, AL",,Bing Maps,city/town
Boston,MA,9,8,8,7,6,7,7,9,10,11,8,9,42.3586617,-71.0567398,"Boston, MA","Boston, MA",,Bing Maps,city/town
Buffalo,NY,1,2,4,5,6,6,7,7,6,6,2,1,42.8854408,-78.8784637,"Buffalo, NY","Buffalo, NY",,Bing Maps,city/town
Charlotte,NC,9,8,9,10,8,7,7,7,9,13,11,10,35.2228584,-80.8379593,"Charlotte, NC","Charlotte, NC",,Bing Maps,city/town
Chicago,IL,7,6,5,6,7,7,8,9,9,9,5,6,41.8842506,-87.6324463,"Chicago, IL","Chicago, IL",,Bing Maps,city/town
Cincinnati,OH,5,5,5,6,6,7,8,8,10,10,6,5,39.1071281,-84.5041275,"Cincinnati, OH","Cincinnati, OH",,Bing Maps,city/town
Cleveland,OH,3,3,5,5,6,7,8,9,8,8,3,3,41.5047302,-81.6907425,"Cleveland, OH","Cleveland, OH",,Bing Maps,city/town
Columbus,OH,4,4,5,5,6,6,7,7,9,10,5,4,39.9619904,-83.0027466,"Columbus, OH","Columbus, OH",,Bing Maps,city/town
Dallas,TX,10,10,10,9,8,11,15,15,13,14,12,11,32.7781487,-96.7954025,"Dallas, TX","Dallas, TX",,Bing Maps,city/town
Denver,CO,10,8,8,7,6,10,9,10,13,13,10,11,39.7400093,-104.9920197,"Denver, CO","Denver, CO",,Bing Maps,city/town
Detroit,MI,4,5,6,6,7,8,9,9,8,8,4,3,42.3316803,-83.0479965,"Detroit, MI","Detroit, MI",,Bing Maps,city/town
Hartford,CT,8,7,7,6,6,6,6,7,8,9,6,7,41.7634888,-72.6740189,"Hartford, CT","Hartford, CT",,Bing Maps,city/town
Houston,TX,7,7,7,7,6,7,7,6,9,11,9,7,29.7605801,-95.3696823,"Houston, TX","Houston, TX",,Bing Maps,city/town
Indianapolis,IN,6,6,6,6,7,7,8,9,11,11,6,5,39.7669106,-86.1499634,"Indianapolis, IN","Indianapolis, IN",,Bing Maps,city/town
Jacksonville,FL,9,9,9,10,9,5,5,5,5,10,10,9,30.3314705,-81.6562195,"Jacksonville, FL","Jacksonville, FL",,Bing Maps,city/town
Kansas City,MO,10,8,8,9,8,10,13,12,12,13,9,10,39.1034508,-94.583107,"Kansas City, MO","Kansas City, MO",,Bing Maps,city/town
Las Vegas,NV,14,12,14,16,18,22,20,22,22,20,16,15,36.1719093,-115.1399689,"Las Vegas, NV","Las Vegas, NV",,Bing Maps,city/town
Los Angeles,CA,12,11,12,11,10,10,13,14,13,13,15,13,34.0534897,-118.2453232,"Los Angeles, CA","Los Angeles, CA",,Bing Maps,city/town
Louisville,KY,6,6,6,6,8,8,8,10,10,12,7,6,38.2548599,-85.7664032,"Louisville, KY","Louisville, KY",,Bing Maps,city/town
Memphis,TN,8,8,8,9,8,10,10,12,12,14,10,9,35.1497612,-90.0492477,"Memphis, TN","Memphis, TN",,Bing Maps,city/town
Miami,FL,9,8,9,8,6,3,3,2,2,7,8,9,25.7748108,-80.197731,"Miami, FL","Miami, FL",,Bing Maps,city/town
Milwaukee,WI,7,6,6,6,7,8,10,10,9,9,5,6,43.0419998,-87.906868,"Milwaukee, WI","Milwaukee, WI",,Bing Maps,city/town
Minneapolis,MN,8,8,7,7,7,7,10,10,10,10,5,6,44.9790192,-93.2649384,"Minneapolis, MN","Minneapolis, MN",,Bing Maps,city/town
Nashville,TN,6,7,8,8,8,8,8,10,11,13,9,7,36.1678391,-86.7781601,"Nashville, TN","Nashville, TN",,Bing Maps,city/town
New Orleans,LA,7,8,8,8,9,8,5,7,10,14,10,8,29.9536991,-90.0777512,"New Orleans, LA","New Orleans, LA",,Bing Maps,city/town
New York,NY,8,8,9,8,8,8,8,9,11,12,9,9,40.71455,-74.0071411,"New York, NY","New York, NY",,Bing Maps,city/town
Oklahoma City,OK,11,9,10,9,9,10,15,14,13,14,12,12,35.4720306,-97.5210724,"Oklahoma City, OK","Oklahoma City, OK",,Bing Maps,city/town
Philadelphia,PA,7,7,8,7,6,7,7,8,10,11,7,7,39.9522209,-75.162178,"Philadelphia, PA","Philadelphia, PA",,Bing Maps,city/town
Phoenix,AZ,14,13,14,17,21,23,17,18,22,20,18,15,33.4482498,-112.075798,"Phoenix, AZ","Phoenix, AZ",,Bing Maps,city/town
Pittsburgh,PA,3,3,4,4,5,5,5,7,7,8,4,3,40.4385109,-79.9973373,"Pittsburgh, PA","Pittsburgh, PA",,Bing Maps,city/town
Portland,OR,3,3,3,3,5,6,13,11,10,5,3,2,45.5117912,-122.6756287,"Portland, OR","Portland, OR",,Bing Maps,city/town
Providence,RI,10,8,8,7,6,7,7,8,9,11,8,8,41.8238716,-71.4119873,"Providence, RI","Providence, RI",,Bing Maps,city/town
Raleigh,NC,9,9,9,10,8,8,7,7,10,13,11,10,35.785511,-78.6426697,"Raleigh, NC","Raleigh, NC",,Bing Maps,city/town
Richmond,VA,8,8,8,8,7,7,7,7,9,12,9,9,37.540699,-77.4336472,"Richmond, VA","Richmond, VA",,Bing Maps,city/town
Rochester,NY,2,2,5,6,6,7,8,8,7,6,2,2,43.1557999,-77.6163177,"Rochester, NY","Rochester, NY",,Bing Maps,city/town
Sacramento,CA,7,8,10,12,17,22,27,26,24,19,10,8,38.5793304,-121.4908981,"Sacramento, CA","Sacramento, CA",,Bing Maps,city/town
Salt Lake City,UT,6,5,7,7,9,14,17,16,16,14,8,6,40.7603111,-111.8882217,"Salt Lake City, UT","Salt Lake City, UT",,Bing Maps,city/town
San Antonio,TX,9,8,9,7,6,7,9,10,9,11,10,10,29.4245796,-98.4946136,"San Antonio, TX","San Antonio, TX",,Bing Maps,city/town
San Diego,CA,12,10,11,10,8,9,13,15,15,14,15,14,32.7156792,-117.1617126,"San Diego, CA","San Diego, CA",,Bing Maps,city/town
San Francisco,CA,9,8,10,11,14,16,21,19,18,16,11,9,37.7771187,-122.4196396,"San Francisco, CA","San Francisco, CA",,Bing Maps,city/town
Seattle,WA,3,3,3,3,4,5,10,9,8,4,2,2,47.603569,-122.3294525,"Seattle, WA","Seattle, WA",,Bing Maps,city/town
St. Louis,MO,7,7,6,7,7,7,9,10,11,12,9,7,38.6277504,-90.1995621,"St. Louis, MO","St Louis, MO",,Bing Maps,city/town
Tampa,FL,10,9,11,11,11,6,3,3,5,11,12,10,27.9465294,-82.4592667,"Tampa, FL","Tampa, FL",,Bing Maps,city/town
Virginia Beach,VA,9,8,9,9,8,7,7,8,9,12,10,9,36.7552795,-76.0596237,"Virginia Beach, VA","Virginia Beach, VA",,Bing Maps,city/town
"Washington, DC",DC,7,7,7,7,7,7,7,9,10,11,8,8,38.906189,-77.0172653,"Washington, DC, DC",District of Columbia,,Bing Maps,state/province
